Title;AppID;URL;Installs (number+);Rating (out of 5);Number of Ratings;Number of Reviews;Price;Last Updated;Version
Couchsurfing Travel App;com.couchsurfing.mobile.android;https://play.google.com/store/apps/details?id=com.couchsurfing.mobile.android&hl=en&gl=us;5,000,000+;2.9599133;101499;33684;Free;Mon Jan 11 2021 08:26:03 GMT-0500 (Eastern Standard Time);4.39.2
Roadtrippers - Trip Planner;com.roadtrippers;https://play.google.com/store/apps/details?id=com.roadtrippers&hl=en&gl=us;1,000,000+;4.04414;6564;2415;Free;Thu Sep 16 2021 14:18:21 GMT-0400 (Eastern Daylight Time);2.8.0.1793
PackPoint travel packing list;com.YRH.PackPoint;https://play.google.com/store/apps/details?id=com.YRH.PackPoint&hl=en&gl=us;1,000,000+;4.702539;34646;8634;Free;Tue Mar 17 2020 19:49:50 GMT-0400 (Eastern Daylight Time);3.10.18
﻿Skyscanner – cheap flights, hotels and car rental;net.skyscanner.android.main;https://play.google.com/store/apps/details?id=net.skyscanner.android.main&hl=en&gl=us;50,000,000+;4.4819374;697863;172581;Free;Thu Sep 09 2021 03:00:51 GMT-0400 (Eastern Daylight Time);Varies with device
Tripadvisor: Hotels, Activities & Restaurants;com.tripadvisor.tripadvisor;https://play.google.com/store/apps/details?id=com.tripadvisor.tripadvisor&hl=en&gl=us;100,000,000+;4.3572826;1394147;439028;Free;Tue Sep 14 2021 13:21:35 GMT-0400 (Eastern Daylight Time);Varies with device
Wego Flights, Hotels, Activities & Travel Booking;com.wego.android;https://play.google.com/store/apps/details?id=com.wego.android&hl=en&gl=us;10,000,000+;4.4397655;136487;48160;Free;Wed Aug 25 2021 04:13:05 GMT-0400 (Eastern Daylight Time);Varies with device
Hopper - Book Cheap Flights & Hotels;com.hopper.mountainview.play;https://play.google.com/store/apps/details?id=com.hopper.mountainview.play&hl=en&gl=us;10,000,000+;3.7515829;93125;30059;Free;Mon Sep 13 2021 09:46:44 GMT-0400 (Eastern Daylight Time);4.76.1
trivago: Compare hotel prices;com.trivago;https://play.google.com/store/apps/details?id=com.trivago&hl=en&gl=us;50,000,000+;4.4263544;307930;81679;Free;Wed Sep 08 2021 09:44:57 GMT-0400 (Eastern Daylight Time);5.47.0
Expedia: Hotels, Flights & Car;com.expedia.bookings;https://play.google.com/store/apps/details?id=com.expedia.bookings&hl=en&gl=us;10,000,000+;3.8615441;264652;89378;Free;Thu Sep 16 2021 15:42:46 GMT-0400 (Eastern Daylight Time);21.36.0
Trip.com: Book Hotels, Flights & Train Tickets;ctrip.english;https://play.google.com/store/apps/details?id=ctrip.english&hl=en&gl=us;5,000,000+;4.0517974;44511;15096;Free;Fri Sep 03 2021 07:47:26 GMT-0400 (Eastern Daylight Time);7.39.1
KAYAK - Flights, Hotels & Car Rental;com.kayak.android;https://play.google.com/store/apps/details?id=com.kayak.android&hl=en&gl=us;10,000,000+;4.4781866;245372;75374;Free;Tue Sep 14 2021 19:54:03 GMT-0400 (Eastern Daylight Time);137.0
Booking.com: Hotels and more;com.booking;https://play.google.com/store/apps/details?id=com.booking&hl=en&gl=us;100,000,000+;4.6784987;3101267;1018555;Free;Wed Sep 15 2021 05:23:29 GMT-0400 (Eastern Daylight Time);Varies with device
Airbnb - Vacation Rentals & Experiences;com.airbnb.android;https://play.google.com/store/apps/details?id=com.airbnb.android&hl=en&gl=us;50,000,000+;4.5834193;1169220;388244;Free;Wed Sep 15 2021 18:25:32 GMT-0400 (Eastern Daylight Time);21.36
Priceline - Travel Deals on Hotels, Flights & Cars;com.priceline.android.negotiator;https://play.google.com/store/apps/details?id=com.priceline.android.negotiator&hl=en&gl=us;10,000,000+;4.6734095;169762;41644;Free;Mon Aug 16 2021 14:15:52 GMT-0400 (Eastern Daylight Time);5.2.233
Travel Planner App To Plan Trips By Tripoto;com.tripoto;https://play.google.com/store/apps/details?id=com.tripoto&hl=en&gl=us;500,000+;4.490508;19471;3893;Free;Tue Sep 14 2021 13:31:56 GMT-0400 (Eastern Daylight Time);2.26.8
Visit A City;com.visitacity.visitacityapp;https://play.google.com/store/apps/details?id=com.visitacity.visitacityapp&hl=en&gl=us;1,000,000+;4.603348;13714;4339;Free;Wed Sep 01 2021 03:00:04 GMT-0400 (Eastern Daylight Time);4.0.51
Polarsteps - Travel Planner & Tracker;com.polarsteps;https://play.google.com/store/apps/details?id=com.polarsteps&hl=en&gl=us;1,000,000+;4.6950526;33311;15080;Free;Thu Jul 29 2021 12:19:19 GMT-0400 (Eastern Daylight Time);6.0.4
Wanderlog - Travel Itinerary & Road Trip Planner;com.wanderlog.android;https://play.google.com/store/apps/details?id=com.wanderlog.android&hl=en&gl=us;100,000+;4.537879;1321;758;Free;Tue Sep 07 2021 18:52:54 GMT-0400 (Eastern Daylight Time);2.31
Travello Travel From Home;com.outbound;https://play.google.com/store/apps/details?id=com.outbound&hl=en&gl=us;500,000+;4.4489403;5199;1999;Free;Mon Aug 09 2021 01:23:12 GMT-0400 (Eastern Daylight Time);5.8.8
TripIt: Travel Planner;com.tripit;https://play.google.com/store/apps/details?id=com.tripit&hl=en&gl=us;5,000,000+;4.3201094;58483;21719;Free;Fri Sep 10 2021 12:54:27 GMT-0400 (Eastern Daylight Time);10.7.0
Title;AppID;URL;Installs (number+);Rating (out of 5);Number of Ratings;Number of Reviews;Price;Last Updated;Version
Expedia: Hotels, Flights & Car;com.expedia.bookings;https://play.google.com/store/apps/details?id=com.expedia.bookings&hl=en&gl=us;10,000,000+;3.8615441;264652;89378;Free;Thu Sep 16 2021 15:42:46 GMT-0400 (Eastern Daylight Time);21.36.0
Visit A City;com.visitacity.visitacityapp;https://play.google.com/store/apps/details?id=com.visitacity.visitacityapp&hl=en&gl=us;1,000,000+;4.603348;13714;4339;Free;Wed Sep 01 2021 03:00:04 GMT-0400 (Eastern Daylight Time);4.0.51
Priceline - Travel Deals on Hotels, Flights & Cars;com.priceline.android.negotiator;https://play.google.com/store/apps/details?id=com.priceline.android.negotiator&hl=en&gl=us;10,000,000+;4.6734285;169763;41644;Free;Mon Aug 16 2021 14:15:52 GMT-0400 (Eastern Daylight Time);5.2.233
﻿Skyscanner – cheap flights, hotels and car rental;net.skyscanner.android.main;https://play.google.com/store/apps/details?id=net.skyscanner.android.main&hl=en&gl=us;50,000,000+;4.481939;697869;172581;Free;Thu Sep 09 2021 03:00:51 GMT-0400 (Eastern Daylight Time);Varies with device
Travello Travel From Home;com.outbound;https://play.google.com/store/apps/details?id=com.outbound&hl=en&gl=us;500,000+;4.4489403;5199;1999;Free;Mon Aug 09 2021 01:23:12 GMT-0400 (Eastern Daylight Time);5.8.8
Airbnb - Vacation Rentals & Experiences;com.airbnb.android;https://play.google.com/store/apps/details?id=com.airbnb.android&hl=en&gl=us;50,000,000+;4.58344;1169233;388247;Free;Wed Sep 15 2021 18:25:32 GMT-0400 (Eastern Daylight Time);21.36
Trip.com: Book Hotels, Flights & Train Tickets;ctrip.english;https://play.google.com/store/apps/details?id=ctrip.english&hl=en&gl=us;5,000,000+;4.0517974;44511;15096;Free;Fri Sep 03 2021 07:47:26 GMT-0400 (Eastern Daylight Time);7.39.1
Polarsteps - Travel Planner & Tracker;com.polarsteps;https://play.google.com/store/apps/details?id=com.polarsteps&hl=en&gl=us;1,000,000+;4.6950526;33311;15080;Free;Thu Jul 29 2021 12:19:19 GMT-0400 (Eastern Daylight Time);6.0.4
Roadtrippers - Trip Planner;com.roadtrippers;https://play.google.com/store/apps/details?id=com.roadtrippers&hl=en&gl=us;1,000,000+;4.04414;6564;2415;Free;Thu Sep 16 2021 14:18:21 GMT-0400 (Eastern Daylight Time);2.8.0.1793
PackPoint travel packing list;com.YRH.PackPoint;https://play.google.com/store/apps/details?id=com.YRH.PackPoint&hl=en&gl=us;1,000,000+;4.702539;34646;8634;Free;Tue Mar 17 2020 19:49:50 GMT-0400 (Eastern Daylight Time);3.10.18
KAYAK - Flights, Hotels & Car Rental;com.kayak.android;https://play.google.com/store/apps/details?id=com.kayak.android&hl=en&gl=us;10,000,000+;4.4781866;245372;75374;Free;Tue Sep 14 2021 19:54:03 GMT-0400 (Eastern Daylight Time);137.0
